"SETTLEMENT.DATE","CUSIP","SYMBOL","QUANTITY..FAILS.","DESCRIPTION","PRICE","GME Allocation"
20210104,"78464A201","SLYG",799,"SPDR S&P 600 SMALL CAP GROWTH ","76.37","0.26%"
20210104,"78464A714","XRT",13189,"SPDR SERIES TR SPDR S&P RETAIL","64.32","3.44%"
20210104,"78464A805","SPTM",114,"SPDR PORTFOLIO S&P 1500 COMPOS","46.09","0.01%"
20210104,"78464A813","SLY",667,"SPDR S&P 600 SMALL CAP ETF","79.54","0.29%"
20210104,"78468R853","SPSM",4699,"SPDR PORTFOLIO S&P 600 SMALL C","35.80","0.29%"
20210104,"808524607","SCHA",509,"SCHWAB STRATEGIC TR US SMALL-C","89.00","0.07%"
20210104,"808524771","FNDX",33986,"SCHWAB FUNDAMENTAL U S LARGE C","45.29","0.39%"
20210104,"808524789","FNDB",371,"SCHWAB FUNDAMENTAL U S BROAD M","44.90","0.35%"
20210104,"87166N304","SSLY",167,"SYNTAX ETF TR STRATIFIED SMALL","43.15","0.11%"
20210104,"886364405","SFYF",681,"TIDAL ETF TR SOFI 50 ETF","27.76","0.69%"
20210104,"921932778","VIOV",32782,"VANGUARD S&P SMALL CAP 600 VAL","140.42","0.12%"
20210104,"921932794","VIOG",7540,"VANGUARD S&P SMALL CAP 600 GRO","196.68","1.78%"
20210104,"921932828","VIOO",62,"VANGUARD S&P SMALL CAP 600 ETF","167.77","0.12%"
20210104,"92204A108","VCR",9966,"VANGUARD CONSUMER DISCRETIONAR","275.18","1.16%"
20210104,"92206C649","VTWV",4643,"VANGUARD RUSSELL 2000 VALUE ET","115.54","0.09%"
20210104,"92206C664","VTWO",6251,"VANGUARD RUSSELL 2000 ETF","158.27","0.04%"
20210104,"922908611","VBR",1620,"VANGUARD SMALL-CAP VALUE ETF","142.21","0.31%"
20210104,"922908652","VXF",57666,"VANGUARD EXTENDED MARKET ETF","164.68","0.02%"
20210104,"922908751","VB",195,"VANGUARD SMALL-CAP ETF","194.68","0.17%"
20210104,"922908769","VTI",1807,"VANGUARD TOTAL STOCK MARKET ET","194.64","0.00%"
20210105,"025072885","AVUS",2765,"AMERICAN CENTY ETF TR AVANTIS ","62.20","0.02%"
20210105,"25460G815","RETL",597,"DIREXION DAILY RETAIL BULL 3X ","435.97","2.87%"
20210105,"26924G706","GAMR",200,"ETF MANAGERS TR WEDBUSH ETFMG ","79.06","4.87%"
20210105,"316092204","FDIS",13648,"FIDELITY COVINGTON TR MSCI CON","70.65","0.13%"
20210105,"36467W109","GME",490723,"GAMESTOP CORP (HLDG CO) CL A","17.25",NA
20210105,"381430602","GSSC",267,"GOLDMAN SACHS ETF TR ACTIVEBET","53.65","0.27%"
20210105,"46137V183","EWSC",101,"INVESCO","63.94","0.54%"
20210105,"46138E180","PSCD",451,"INVESCO S&P SMALLCAP CONSUMER ","80.24","1.92%"
20210105,"46138E453","PBSM",1855,"INVESCO ETF TR II PUREBETA MSC","33.05","0.07%"
20210105,"46138J593","OMFS",4393,"INVESCO EXCHANGE-TRADED SELF-I","32.51","0.15%"
20210105,"464287655","IWM",34366,"ISHARES RUSSELL 2000 ETF","193.50","0.10%"
20210105,"464287804","IJR",65075,"ISHARES CORE S&P SM CAP ETF","91.04","0.28%"
20210105,"464287887","IJT",8006,"ISHARES S&P SMALL CAP 600 GROW","113.22","0.26%"
20210105,"464288570","DSI",15153,"ISHARES MSCI KLD 400 SOCIAL ET","70.61","0.02%"
20210105,"464288869","IWC",21548,"RUSSELL MICRO CAP ETF","117.96","0.59%"
20210105,"46436E544","XJR",145,"ISHARES TRESG SCREENED S&P SMA","32.84","0.30%"
20210105,"67092P607","NUSC",24375,"NUVEEN ESG SMALL-CAP ETF","37.86","0.30%"
20210105,"74347X294","HDG",489,"PROSHARES TRUST - PROSHARES HE","49.86","0.03%"
20210105,"74347X799","URTY",28145,"PROSHARES TRUST PROSHRS ULTRAP","75.46","0.05%"
20210105,"78464A201","SLYG",463,"SPDR S&P 600 SMALL CAP GROWTH ","75.75","0.26%"
20210105,"78464A714","XRT",431,"SPDR SERIES TR SPDR S&P RETAIL","63.54","3.44%"
20210105,"78464A805","SPTM",30,"SPDR PORTFOLIO S&P 1500 COMPOS","45.48","0.01%"
20210105,"78468R853","SPSM",254,"SPDR PORTFOLIO S&P 600 SMALL C","35.43","0.29%"
20210105,"808524771","FNDX",14844,"SCHWAB FUNDAMENTAL U S LARGE C","44.75","0.39%"
20210105,"808524789","FNDB",1169,"SCHWAB FUNDAMENTAL U S BROAD M","44.29","0.35%"
20210105,"87166N304","SSLY",162,"SYNTAX ETF TR STRATIFIED SMALL","43.10","0.11%"
20210105,"886364405","SFYF",529,"TIDAL ETF TR SOFI 50 ETF","27.53","0.69%"
20210105,"921932794","VIOG",6529,"VANGUARD S&P SMALL CAP 600 GRO","195.16","1.78%"
20210105,"921932828","VIOO",1167,"VANGUARD S&P SMALL CAP 600 ETF","166.14","0.12%"
20210105,"92204A108","VCR",7721,"VANGUARD CONSUMER DISCRETIONAR","271.66","1.16%"
20210105,"92206C649","VTWV",26054,"VANGUARD RUSSELL 2000 VALUE ET","113.86","0.09%"
20210105,"92206C664","VTWO",6215,"VANGUARD RUSSELL 2000 ETF","155.97","0.04%"
20210105,"922908652","VXF",112351,"VANGUARD EXTENDED MARKET ETF","162.25","0.02%"
20210105,"922908751","VB",1509,"VANGUARD SMALL-CAP ETF","191.53","0.17%"
20210105,"922908769","VTI",4017,"VANGUARD TOTAL STOCK MARKET ET","191.87","0.00%"
20210106,"025072885","AVUS",14138,"AMERICAN CENTY ETF TR AVANTIS ","62.93","0.02%"
20210106,"25460G815","RETL",441,"DIREXION DAILY RETAIL BULL 3X ","465.71","2.87%"
20210106,"26924G706","GAMR",359,"ETF MANAGERS TR WEDBUSH ETFMG ","80.48","4.87%"
20210106,"316092204","FDIS",15964,"FIDELITY COVINGTON TR MSCI CON","71.45","0.13%"
20210106,"36467W109","GME",772112,"GAMESTOP CORP (HLDG CO) CL A","17.37",NA
20210106,"46137V183","EWSC",250,"INVESCO","65.71","0.54%"
20210106,"46138E180","PSCD",612,"INVESCO S&P SMALLCAP CONSUMER ","82.22","1.92%"
20210106,"46138G664","RWJ",82227,"INVESCO EXCHANGE-TRADED FD TR ","82.93","2.11%"
20210106,"46138J593","OMFS",59490,"INVESCO EXCHANGE-TRADED SELF-I","33.43","0.15%"
20210106,"46138J734","IUSS",20,"INVESCO EXCH-TRADED SELF INDX ","29.52","1.25%"
20210106,"464287150","ITOT",1405,"ISHARES CORE S&P TOTAL U.S. ST","85.76","0.01%"
20210106,"464287655","IWM",1097,"ISHARES RUSSELL 2000 ETF","196.49","0.10%"
20210106,"464287689","IWV",5618,"ISHARES RUSSELL 3000 ETF","222.46","0.01%"
20210106,"464287804","IJR",398,"ISHARES CORE S&P SM CAP ETF","92.98","0.28%"
20210106,"464287887","IJT",61722,"ISHARES S&P SMALL CAP 600 GROW","115.51","0.26%"
20210106,"464288570","DSI",10819,"ISHARES MSCI KLD 400 SOCIAL ET","71.03","0.02%"
20210106,"464288869","IWC",8693,"RUSSELL MICRO CAP ETF","120.02","0.59%"
20210106,"46435U663","ESML",33793,"ISHARES ESG AWARE MSCI USA SMA","34.22","0.18%"
20210106,"46436E544","XJR",361,"ISHARES TRESG SCREENED S&P SMA","33.50","0.30%"
20210106,"46436E775","STSB",85,"ISHARES TR FACTORS US SMALL BL","40.61","0.11%"
20210106,"46641Q290","BBSC",25,"JP MORGAN EXC-TRD TR BETABUILD","57.89","0.15%"
20210106,"67092P607","NUSC",65026,"NUVEEN ESG SMALL-CAP ETF","38.41","0.30%"
20210106,"74347R842","UWM",152,"PROSHARES ULTRA RUSSELL 2000","89.98","0.07%"
20210106,"74347X294","HDG",213,"PROSHARES TRUST - PROSHARES HE","50.28","0.03%"
20210106,"74347X799","URTY",5145,"PROSHARES TRUST PROSHRS ULTRAP","79.04","0.05%"
20210106,"78464A128","VLU",168,"SPDR S&P 1500 VALUE TILT ETF","121.28","0.04%"
20210106,"78464A300","SLYV",659,"SPDR S&P 600 SMALL CAP VALUE E","66.91","0.30%"
20210106,"78464A714","XRT",38051,"SPDR SERIES TR SPDR S&P RETAIL","64.96","3.44%"
20210106,"78464A813","SLY",375,"SPDR S&P 600 SMALL CAP ETF","80.42","0.29%"
20210106,"808524102","SCHB",26858,"SCHWAB STRATEGIC TR US BROAD M","90.50","0.01%"
20210106,"808524789","FNDB",1904,"SCHWAB FUNDAMENTAL U S BROAD M","44.84","0.35%"
20210106,"89349P305","DMRS",433,"TRANSAMERICA ETF TR DELTASHARE","52.18","0.17%"
20210106,"921932794","VIOG",10469,"VANGUARD S&P SMALL CAP 600 GRO","198.92","1.78%"
20210106,"92204A108","VCR",10522,"VANGUARD CONSUMER DISCRETIONAR","274.91","1.16%"
20210106,"92206C599","VTHR",9059,"VANGUARD RUSSELL 3000 ETF","173.00","0.00%"
20210106,"92206C649","VTWV",178,"VANGUARD RUSSELL 2000 VALUE ET","116.28","0.09%"
20210106,"92206C664","VTWO",51890,"VANGUARD RUSSELL 2000 ETF","158.49","0.04%"
20210106,"922908652","VXF",158266,"VANGUARD EXTENDED MARKET ETF","164.64","0.02%"
20210106,"922908769","VTI",1260,"VANGUARD TOTAL STOCK MARKET ET","193.42","0.00%"
20210107,"025072885","AVUS",41514,"AMERICAN CENTY ETF TR AVANTIS ","64.07","0.02%"
20210107,"25460G815","RETL",358,"DIREXION DAILY RETAIL BULL 3X ","524.27","2.87%"
20210107,"26924G706","GAMR",1186,"ETF MANAGERS TR WEDBUSH ETFMG ","79.76","4.87%"
20210107,"316092204","FDIS",16172,"FIDELITY COVINGTON TR MSCI CON","72.29","0.13%"
20210107,"36467W109","GME",799328,"GAMESTOP CORP (HLDG CO) CL A","18.36",NA
20210107,"381430602","GSSC",13255,"GOLDMAN SACHS ETF TR ACTIVEBET","56.75","0.27%"
20210107,"46137V183","EWSC",6580,"INVESCO","69.04","0.54%"
20210107,"46137V613","PRF",29697,"INVESCO EXCHANGE-TRADED FD TR ","135.92","0.44%"
20210107,"46138E180","PSCD",1362,"INVESCO S&P SMALLCAP CONSUMER ","86.42","1.92%"
20210107,"46138E453","PBSM",609,"INVESCO ETF TR II PUREBETA MSC","34.25","0.07%"
20210107,"46138G664","RWJ",21236,"INVESCO EXCHANGE-TRADED FD TR ","87.54","2.11%"
20210107,"46138J593","OMFS",59126,"INVESCO EXCHANGE-TRADED SELF-I","35.23","0.15%"
20210107,"46138J734","IUSS",11,"INVESCO EXCH-TRADED SELF INDX ","30.73","1.25%"
20210107,"464287150","ITOT",3737,"ISHARES CORE S&P TOTAL U.S. ST","86.54","0.01%"
20210107,"464287630","IWN",692,"ISHARES RUSSELL2000 VAL ETF","139.75","0.21%"
20210107,"464287655","IWM",125200,"ISHARES RUSSELL 2000 ETF","204.53","0.10%"
20210107,"464287879","IJS",19,"ISHARES S&P SMALLCAP 600 VALUE","86.83","0.30%"
20210107,"464287887","IJT",8103,"ISHARES S&P SMALL CAP 600 GROW","120.00","0.26%"
20210107,"464288570","DSI",17969,"ISHARES MSCI KLD 400 SOCIAL ET","71.41","0.02%"
20210107,"464288869","IWC",4265,"RUSSELL MICRO CAP ETF","124.58","0.59%"
20210107,"46435U663","ESML",42314,"ISHARES ESG AWARE MSCI USA SMA","35.48","0.18%"
20210107,"46436E544","XJR",1092,"ISHARES TRESG SCREENED S&P SMA","35.04","0.30%"
20210107,"46436E775","STSB",99,"ISHARES TR FACTORS US SMALL BL","42.23","0.11%"
20210107,"46641Q290","BBSC",10,"JP MORGAN EXC-TRD TR BETABUILD","59.98","0.15%"
20210107,"67092P607","NUSC",84547,"NUVEEN ESG SMALL-CAP ETF","39.82","0.30%"
20210107,"74347X294","HDG",473,"PROSHARES TRUST - PROSHARES HE","50.73","0.03%"
20210107,"78464A128","VLU",6802,"SPDR S&P 1500 VALUE TILT ETF","124.63","0.04%"
20210107,"78464A201","SLYG",4127,"SPDR S&P 600 SMALL CAP GROWTH ","80.39","0.26%"
20210107,"78464A300","SLYV",600000,"SPDR S&P 600 SMALL CAP VALUE E","70.79","0.30%"
20210107,"78464A714","XRT",1309,"SPDR SERIES TR SPDR S&P RETAIL","67.63","3.44%"
20210107,"78464A813","SLY",3035,"SPDR S&P 600 SMALL CAP ETF","84.40","0.29%"
20210107,"78468R853","SPSM",14566,"SPDR PORTFOLIO S&P 600 SMALL C","37.94","0.29%"
20210107,"808524607","SCHA",376,"SCHWAB STRATEGIC TR US SMALL-C","92.48","0.07%"
20210107,"808524789","FNDB",11688,"SCHWAB FUNDAMENTAL U S BROAD M","45.92","0.35%"
20210107,"886364405","SFYF",206,"TIDAL ETF TR SOFI 50 ETF","27.75","0.69%"
20210107,"89349P305","DMRS",136,"TRANSAMERICA ETF TR DELTASHARE","53.43","0.17%"
20210107,"921932778","VIOV",3874,"VANGUARD S&P SMALL CAP 600 VAL","150.07","0.12%"
20210107,"921932794","VIOG",179,"VANGUARD S&P SMALL CAP 600 GRO","207.02","1.78%"
20210107,"921932828","VIOO",240,"VANGUARD S&P SMALL CAP 600 ETF","178.06","0.12%"
20210107,"92206C599","VTHR",264,"VANGUARD RUSSELL 3000 ETF","174.31","0.00%"
20210107,"92206C649","VTWV",15848,"VANGUARD RUSSELL 2000 VALUE ET","122.28","0.09%"
20210107,"922908611","VBR",800,"VANGUARD SMALL-CAP VALUE ETF","148.35","0.31%"
20210107,"922908652","VXF",171,"VANGUARD EXTENDED MARKET ETF","168.19","0.02%"
20210107,"922908769","VTI",25067,"VANGUARD TOTAL STOCK MARKET ET","195.16","0.00%"
20210108,"025072885","AVUS",2659,"AMERICAN CENTY ETF TR AVANTIS ","65.09","0.02%"
20210108,"25460G815","RETL",32,"DIREXION DAILY RETAIL BULL 3X ","535.11","2.87%"
20210108,"26924G706","GAMR",479,"ETF MANAGERS TR WEDBUSH ETFMG ","79.90","4.87%"
20210108,"316092204","FDIS",25940,"FIDELITY COVINGTON TR MSCI CON","73.52","0.13%"
20210108,"33939L100","TILT",108,"FLEXSHARES TR","149.04","0.04%"
20210108,"36467W109","GME",555658,"GAMESTOP CORP (HLDG CO) CL A","18.08",NA
20210108,"381430602","GSSC",22255,"GOLDMAN SACHS ETF TR ACTIVEBET","57.58","0.27%"
20210108,"46137V183","EWSC",5625,"INVESCO","69.55","0.54%"
20210108,"46138E180","PSCD",4716,"INVESCO S&P SMALLCAP CONSUMER ","87.30","1.92%"
20210108,"46138E453","PBSM",609,"INVESCO ETF TR II PUREBETA MSC","35.21","0.07%"
20210108,"46138G664","RWJ",59054,"INVESCO EXCHANGE-TRADED FD TR ","87.78","2.11%"
20210108,"46138J593","OMFS",60145,"INVESCO EXCHANGE-TRADED SELF-I","35.55","0.15%"
20210108,"46138J734","IUSS",9,"INVESCO EXCH-TRADED SELF INDX ","31.07","1.25%"
20210108,"464287150","ITOT",198,"ISHARES CORE S&P TOTAL U.S. ST","87.86","0.01%"
20210108,"464287655","IWM",39893,"ISHARES RUSSELL 2000 ETF","208.17","0.10%"
20210108,"464287879","IJS",53,"ISHARES S&P SMALLCAP 600 VALUE","87.48","0.30%"
20210108,"464287887","IJT",8006,"ISHARES S&P SMALL CAP 600 GROW","122.00","0.26%"
20210108,"464288570","DSI",55455,"ISHARES MSCI KLD 400 SOCIAL ET","72.57","0.02%"
20210108,"464288869","IWC",54,"RUSSELL MICRO CAP ETF","127.49","0.59%"
20210108,"46435U663","ESML",71364,"ISHARES ESG AWARE MSCI USA SMA","36.07","0.18%"
20210108,"46436E544","XJR",1074,"ISHARES TRESG SCREENED S&P SMA","35.44","0.30%"
20210108,"46436E775","STSB",99,"ISHARES TR FACTORS US SMALL BL","42.92","0.11%"
20210108,"46641Q290","BBSC",11,"JP MORGAN EXC-TRD TR BETABUILD","61.10","0.15%"
20210108,"74347X799","URTY",42952,"PROSHARES TRUST PROSHRS ULTRAP","93.51","0.05%"
20210108,"78464A128","VLU",10655,"SPDR S&P 1500 VALUE TILT ETF","126.43","0.04%"
20210108,"78464A201","SLYG",9494,"SPDR S&P 600 SMALL CAP GROWTH ","81.64","0.26%"
20210108,"78464A714","XRT",11000,"SPDR SERIES TR SPDR S&P RETAIL","68.11","3.44%"
20210108,"78464A805","SPTM",138,"SPDR PORTFOLIO S&P 1500 COMPOS","46.87","0.01%"
20210108,"78464A813","SLY",7220,"SPDR S&P 600 SMALL CAP ETF","85.34","0.29%"
20210108,"78468R705","MMTM",100,"SPDR SER TR S&P 1500 MOMENTUM ","162.26","0.02%"
20210108,"78468R853","SPSM",2902,"SPDR PORTFOLIO S&P 600 SMALL C","38.37","0.29%"
20210108,"808524102","SCHB",121,"SCHWAB STRATEGIC TR US BROAD M","92.69","0.01%"
20210108,"808524607","SCHA",67,"SCHWAB STRATEGIC TR US SMALL-C","93.98","0.07%"
20210108,"808524771","FNDX",1083,"SCHWAB FUNDAMENTAL U S LARGE C","46.72","0.39%"
20210108,"808524789","FNDB",10873,"SCHWAB FUNDAMENTAL U S BROAD M","46.44","0.35%"
20210108,"886364405","SFYF",75,"TIDAL ETF TR SOFI 50 ETF","28.43","0.69%"
20210108,"89349P305","DMRS",159,"TRANSAMERICA ETF TR DELTASHARE","53.74","0.17%"
20210108,"92204A108","VCR",86,"VANGUARD CONSUMER DISCRETIONAR","283.35","1.16%"
20210108,"92206C599","VTHR",1175,"VANGUARD RUSSELL 3000 ETF","177.31","0.00%"
20210108,"92206C649","VTWV",8018,"VANGUARD RUSSELL 2000 VALUE ET","123.64","0.09%"
20210108,"922908652","VXF",388894,"VANGUARD EXTENDED MARKET ETF","171.70","0.02%"
20210108,"922908751","VB",20,"VANGUARD SMALL-CAP ETF","203.84","0.17%"
20210108,"922908769","VTI",229492,"VANGUARD TOTAL STOCK MARKET ET","198.29","0.00%"
20210111,"025072885","AVUS",4792,"AMERICAN CENTY ETF TR AVANTIS ","65.18","0.02%"
20210111,"25460G815","RETL",167,"DIREXION DAILY RETAIL BULL 3X ","535.79","2.87%"
20210111,"26924G706","GAMR",8121,"ETF MANAGERS TR WEDBUSH ETFMG ","80.64","4.87%"
20210111,"316092204","FDIS",77,"FIDELITY COVINGTON TR MSCI CON","74.62","0.13%"
20210111,"36467W109","GME",703110,"GAMESTOP CORP (HLDG CO) CL A","17.69",NA
20210111,"381430602","GSSC",25812,"GOLDMAN SACHS ETF TR ACTIVEBET","57.17","0.27%"
20210111,"46137V183","EWSC",5558,"INVESCO","68.98","0.54%"
20210111,"46137V480","XSVM",5458,"INVESCO S&P SMALLCAP VALUE WIT","37.38","2.45%"
20210111,"46137V613","PRF",1,"INVESCO EXCHANGE-TRADED FD TR ","137.35","0.44%"
20210111,"46138E180","PSCD",5785,"INVESCO S&P SMALLCAP CONSUMER ","86.40","1.92%"
20210111,"46138E453","PBSM",20455,"INVESCO ETF TR II PUREBETA MSC","35.58","0.07%"
20210111,"46138G664","RWJ",37996,"INVESCO EXCHANGE-TRADED FD TR ","86.69","2.11%"
20210111,"46138J593","OMFS",61211,"INVESCO EXCHANGE-TRADED SELF-I","35.27","0.15%"
20210111,"46138J734","IUSS",80,"INVESCO EXCH-TRADED SELF INDX ","30.93","1.25%"
20210111,"464287150","ITOT",4777,"ISHARES CORE S&P TOTAL U.S. ST","88.28","0.01%"
20210111,"464287655","IWM",725,"ISHARES RUSSELL 2000 ETF","207.72","0.10%"
20210111,"464287879","IJS",12,"ISHARES S&P SMALLCAP 600 VALUE","86.62","0.30%"
20210111,"464287887","IJT",9989,"ISHARES S&P SMALL CAP 600 GROW","121.23","0.26%"
20210111,"464288570","DSI",83,"ISHARES MSCI KLD 400 SOCIAL ET","73.07","0.02%"
20210111,"464288869","IWC",4448,"RUSSELL MICRO CAP ETF","126.46","0.59%"
20210111,"46435U663","ESML",80556,"ISHARES ESG AWARE MSCI USA SMA","35.98","0.18%"
20210111,"46436E544","XJR",578,"ISHARES TRESG SCREENED S&P SMA","35.17","0.30%"
20210111,"46436E775","STSB",157,"ISHARES TR FACTORS US SMALL BL","42.69","0.11%"
20210111,"46641Q290","BBSC",43,"JP MORGAN EXC-TRD TR BETABUILD","60.82","0.15%"
20210111,"67092P607","NUSC",18955,"NUVEEN ESG SMALL-CAP ETF","40.24","0.30%"
20210111,"74347R818","SAA",196,"PROSHARES ULTRA SMALLCAP600","121.46","0.18%"
20210111,"74347X294","HDG",631,"PROSHARES TRUST - PROSHARES HE","51.17","0.03%"
20210111,"78464A128","VLU",15344,"SPDR S&P 1500 VALUE TILT ETF","126.28","0.04%"
20210111,"78464A201","SLYG",6016,"SPDR S&P 600 SMALL CAP GROWTH ","81.13","0.26%"
20210111,"78464A714","XRT",5227,"SPDR SERIES TR SPDR S&P RETAIL","68.16","3.44%"
20210111,"78464A805","SPTM",96,"SPDR PORTFOLIO S&P 1500 COMPOS","47.10","0.01%"
20210111,"78464A813","SLY",42773,"SPDR S&P 600 SMALL CAP ETF","84.67","0.29%"
20210111,"808524771","FNDX",48,"SCHWAB FUNDAMENTAL U S LARGE C","46.74","0.39%"
20210111,"808524789","FNDB",10953,"SCHWAB FUNDAMENTAL U S BROAD M","46.42","0.35%"
20210111,"886364405","SFYF",20479,"TIDAL ETF TR SOFI 50 ETF","28.70","0.69%"
20210111,"89349P305","DMRS",120,"TRANSAMERICA ETF TR DELTASHARE","53.67","0.17%"
20210111,"921932794","VIOG",99,"VANGUARD S&P SMALL CAP 600 GRO","208.98","1.78%"
20210111,"921932828","VIOO",76,"VANGUARD S&P SMALL CAP 600 ETF","178.47","0.12%"
20210111,"92204A108","VCR",10845,"VANGUARD CONSUMER DISCRETIONAR","287.60","1.16%"
20210111,"92206C599","VTHR",740,"VANGUARD RUSSELL 3000 ETF","178.20","0.00%"
20210111,"92206C649","VTWV",15797,"VANGUARD RUSSELL 2000 VALUE ET","122.18","0.09%"
20210111,"92206C664","VTWO",1521,"VANGUARD RUSSELL 2000 ETF","167.66","0.04%"
20210111,"922908611","VBR",1196,"VANGUARD SMALL-CAP VALUE ETF","148.89","0.31%"
20210111,"922908652","VXF",20069,"VANGUARD EXTENDED MARKET ETF","171.97","0.02%"
20210111,"922908751","VB",8355,"VANGUARD SMALL-CAP ETF","203.76","0.17%"
20210111,"922908769","VTI",7129,"VANGUARD TOTAL STOCK MARKET ET","199.25","0.00%"
20210112,"025072885","AVUS",2411,"AMERICAN CENTY ETF TR AVANTIS ","65.02","0.02%"
20210112,"25460G815","RETL",150,"DIREXION DAILY RETAIL BULL 3X ","570.15","2.87%"
20210112,"26924G706","GAMR",197,"ETF MANAGERS TR WEDBUSH ETFMG ","79.93","4.87%"
20210112,"316092204","FDIS",28415,"FIDELITY COVINGTON TR MSCI CON","73.75","0.13%"
20210112,"36467W109","GME",287730,"GAMESTOP CORP (HLDG CO) CL A","19.94",NA
20210112,"381430602","GSSC",35622,"GOLDMAN SACHS ETF TR ACTIVEBET","57.33","0.27%"
20210112,"46137V183","EWSC",5182,"INVESCO","69.10","0.54%"
20210112,"46137V480","XSVM",4847,"INVESCO S&P SMALLCAP VALUE WIT","37.72","2.45%"
20210112,"46137V613","PRF",12198,"INVESCO EXCHANGE-TRADED FD TR ","137.54","0.44%"
20210112,"46138E180","PSCD",7622,"INVESCO S&P SMALLCAP CONSUMER ","88.69","1.92%"
20210112,"46138E453","PBSM",38402,"INVESCO ETF TR II PUREBETA MSC","35.43","0.07%"
20210112,"46138G664","RWJ",28457,"INVESCO EXCHANGE-TRADED FD TR ","87.46","2.11%"
20210112,"46138J593","OMFS",140860,"INVESCO EXCHANGE-TRADED SELF-I","35.41","0.15%"
20210112,"46138J734","IUSS",322,"INVESCO EXCH-TRADED SELF INDX ","31.01","1.25%"
20210112,"464287150","ITOT",17,"ISHARES CORE S&P TOTAL U.S. ST","87.81","0.01%"
20210112,"464287630","IWN",89,"ISHARES RUSSELL2000 VAL ETF","139.96","0.21%"
20210112,"464287655","IWM",84,"ISHARES RUSSELL 2000 ETF","207.54","0.10%"
20210112,"464287879","IJS",553,"ISHARES S&P SMALLCAP 600 VALUE","87.06","0.30%"
20210112,"464287887","IJT",8006,"ISHARES S&P SMALL CAP 600 GROW","121.68","0.26%"
20210112,"464288570","DSI",3313,"ISHARES MSCI KLD 400 SOCIAL ET","72.43","0.02%"
20210112,"46435U663","ESML",2568,"ISHARES ESG AWARE MSCI USA SMA","36.00","0.18%"
20210112,"46436E544","XJR",796,"ISHARES TRESG SCREENED S&P SMA","35.30","0.30%"
20210112,"46436E775","STSB",55,"ISHARES TR FACTORS US SMALL BL","42.70","0.11%"
20210112,"46641Q290","BBSC",9,"JP MORGAN EXC-TRD TR BETABUILD","60.79","0.15%"
20210112,"67092P607","NUSC",2232,"NUVEEN ESG SMALL-CAP ETF","40.26","0.30%"
20210112,"74347R842","UWM",160,"PROSHARES ULTRA RUSSELL 2000","100.24","0.07%"
20210112,"78464A128","VLU",344,"SPDR S&P 1500 VALUE TILT ETF","126.52","0.04%"
20210112,"78464A201","SLYG",66,"SPDR S&P 600 SMALL CAP GROWTH ","81.42","0.26%"
20210112,"78464A813","SLY",11142,"SPDR S&P 600 SMALL CAP ETF","84.97","0.29%"
20210112,"808524102","SCHB",10223,"SCHWAB STRATEGIC TR US BROAD M","92.69","0.01%"
20210112,"808524789","FNDB",13824,"SCHWAB FUNDAMENTAL U S BROAD M","46.48","0.35%"
20210112,"886364405","SFYF",23939,"TIDAL ETF TR SOFI 50 ETF","28.32","0.69%"
20210112,"89349P305","DMRS",120,"TRANSAMERICA ETF TR DELTASHARE","53.72","0.17%"
20210112,"921932778","VIOV",1127,"VANGUARD S&P SMALL CAP 600 VAL","150.21","0.12%"
20210112,"921932828","VIOO",1,"VANGUARD S&P SMALL CAP 600 ETF","179.36","0.12%"
